Group,Parent_group,n_unitigs,n_unique_carrier_patterns,delta_variance_fraction,empirical_p_value,BH_q_value,median_Jaccard_dissimilarity,Q1_Jaccard_dissimilarity,Q3_Jaccard_dissimilarity
UNMAPPED_C02,UNMAPPED,72372,38418,0.019350,0.003984,0.013280,0.525995,0.199333,0.554546
UNMAPPED_C03,UNMAPPED,38114,14032,0.001739,0.003984,0.013280,0.507564,0.463287,0.533073
UNMAPPED_C05,UNMAPPED,36119,11642,0.000490,0.003984,0.013280,0.497620,0.380252,0.513879
MULTIMAPPED_C05,MULTIMAPPED,1424,1167,0.001139,0.007968,0.039841,0.350683,0.172363,0.373096
MULTIMAPPED_C07,MULTIMAPPED,1097,907,0.000927,0.003984,0.039841,0.326334,0.243702,0.351254
